Country,happiness_score,gdp_per_capita,family,health,freedom,generosity,government_trust,dystopia_residual,continent,Year,social_support,cpi_score
Finland,7.632,1.305,0.0,0.874,0.681,0.202,0.393,0.0,Europe,2018,1.592,85
Norway,7.594,1.456,0.0,0.861,0.686,0.286,0.34,0.0,Europe,2018,1.582,84
Denmark,7.555,1.351,0.0,0.868,0.683,0.284,0.408,0.0,Europe,2018,1.59,88
Iceland,7.495,1.343,0.0,0.914,0.677,0.353,0.138,0.0,Europe,2018,1.644,76
Switzerland,7.487,1.42,0.0,0.927,0.66,0.256,0.357,0.0,Europe,2018,1.549,85
Netherlands,7.441,1.361,0.0,0.878,0.638,0.333,0.295,0.0,Europe,2018,1.488,82
Canada,7.328,1.33,0.0,0.896,0.653,0.321,0.291,0.0,North-America,2018,1.532,81
New Zealand,7.324,1.268,0.0,0.876,0.669,0.365,0.389,0.0,Australia,2018,1.601,87
Sweden,7.314,1.355,0.0,0.913,0.659,0.285,0.383,0.0,Europe,2018,1.501,85
Australia,7.272,1.34,0.0,0.91,0.647,0.361,0.302,0.0,Australia,2018,1.573,77
England,7.19,1.244,0.0,0.888,0.464,0.262,0.082,0.0,Europe,2018,1.433,80
Austria,7.139,1.341,0.0,0.891,0.617,0.242,0.224,0.0,Europe,2018,1.504,76
Costa Rica,7.072,1.01,0.0,0.817,0.632,0.143,0.101,0.0,South-America,2018,1.459,56
Ireland,6.977,1.448,0.0,0.876,0.614,0.307,0.306,0.0,Europe,2018,1.583,73
Germany,6.965,1.34,0.0,0.861,0.586,0.273,0.28,0.0,Europe,2018,1.474,80
Belgium,6.927,1.324,0.0,0.894,0.583,0.188,0.24,0.0,Europe,2018,1.483,75
Luxembourg,6.91,1.576,0.0,0.896,0.632,0.196,0.321,0.0,Europe,2018,1.52,81
USA,6.886,1.398,0.0,0.819,0.547,0.291,0.133,0.0,North-America,2018,1.471,71
Israel,6.814,1.301,0.0,0.883,0.533,0.354,0.272,0.0,Asia,2018,1.559,61
United Arab Emirates,6.774,2.096,0.0,0.67,0.284,0.186,0.312,0.0,Asia,2018,0.776,70
Malta,6.627,1.27,0.0,0.884,0.645,0.376,0.142,0.0,Europe,2018,1.525,54
