Country,happiness_score,gdp_per_capita,family,health,freedom,generosity,government_trust,dystopia_residual,continent,Year,social_support,cpi_score
Finland,7.769,1.34,0.0,0.986,0.596,0.153,0.393,0.0,Europe,2017,1.587,85
Denmark,7.6,1.383,0.0,0.996,0.592,0.252,0.41,0.0,Europe,2017,1.573,88
Norway,7.554,1.488,0.0,1.028,0.603,0.271,0.341,0.0,Europe,2017,1.582,85
Iceland,7.494,1.38,0.0,1.026,0.591,0.354,0.118,0.0,Europe,2017,1.624,77
Netherlands,7.488,1.396,0.0,0.999,0.557,0.322,0.298,0.0,Europe,2017,1.522,82
Switzerland,7.48,1.452,0.0,1.052,0.572,0.263,0.343,0.0,Europe,2017,1.526,85
Sweden,7.343,1.387,0.0,1.009,0.574,0.267,0.373,0.0,Europe,2017,1.487,84
New Zealand,7.307,1.303,0.0,1.026,0.585,0.33,0.38,0.0,Australia,2017,1.557,89
Canada,7.278,1.365,0.0,1.039,0.584,0.285,0.308,0.0,North-America,2017,1.505,82
Austria,7.246,1.376,0.0,1.016,0.532,0.244,0.226,0.0,Europe,2017,1.475,75
Australia,7.228,1.372,0.0,1.036,0.557,0.332,0.29,0.0,Australia,2017,1.548,77
Costa Rica,7.167,1.034,0.0,0.963,0.558,0.144,0.093,0.0,South-America,2017,1.441,59
Israel,7.139,1.276,0.0,1.029,0.371,0.261,0.082,0.0,Asia,2017,1.455,62
Luxembourg,7.09,1.609,0.0,1.012,0.526,0.194,0.316,0.0,Europe,2017,1.479,82
England,7.054,1.333,0.0,0.996,0.45,0.348,0.278,0.0,Europe,2017,1.538,82
Ireland,7.021,1.499,0.0,0.999,0.516,0.298,0.31,0.0,Europe,2017,1.553,74
Germany,6.985,1.373,0.0,0.987,0.495,0.261,0.265,0.0,Europe,2017,1.454,81
Belgium,6.923,1.356,0.0,0.986,0.473,0.16,0.21,0.0,Europe,2017,1.504,75
USA,6.892,1.433,0.0,0.874,0.454,0.28,0.128,0.0,North-America,2017,1.457,75
United Arab Emirates,6.825,1.503,0.0,0.825,0.598,0.262,0.182,0.0,Asia,2017,1.31,71
Malta,6.726,1.3,0.0,0.999,0.564,0.375,0.151,0.0,Europe,2017,1.52,56
Mexico,6.595,1.07,0.0,0.861,0.433,0.074,0.073,0.0,North-America,2017,1.323,29
France,6.592,1.324,0.0,1.045,0.436,0.111,0.183,0.0,Europe,2017,1.472,70
Chile,6.444,1.159,0.0,0.92,0.357,0.187,0.056,0.0,South-America,2017,1.369,67
Guatemala,6.436,0.8,0.0,0.746,0.535,0.175,0.078,0.0,South-America,2017,1.269,28
Saudi Arabia,6.375,1.403,0.0,0.795,0.439,0.08,0.132,0.0,Asia,2017,1.357,49
Spain,6.354,1.286,0.0,1.062,0.362,0.153,0.079,0.0,Europe,2017,1.484,57
Panama,6.321,1.149,0.0,0.91,0.516,0.109,0.054,0.0,South-America,2017,1.442,37
Brazil,6.3,1.004,0.0,0.802,0.39,0.099,0.086,0.0,South-America,2017,1.439,37
Uruguay,6.293,1.124,0.0,0.891,0.523,0.127,0.15,0.0,South-America,2017,1.465,70
Singapore,6.262,1.572,0.0,1.141,0.556,0.271,0.453,0.0,Asia,2017,1.463,84
El Salvador,6.253,0.794,0.0,0.789,0.43,0.093,0.074,0.0,South-America,2017,1.242,33
Italy,6.223,1.294,0.0,1.039,0.231,0.158,0.03,0.0,Europe,2017,1.488,50
Bahrain,6.199,1.362,0.0,0.871,0.536,0.255,0.11,0.0,Asia,2017,1.368,36
Slovakia,6.198,1.246,0.0,0.881,0.334,0.121,0.014,0.0,Europe,2017,1.504,50
Poland,6.182,1.206,0.0,0.884,0.483,0.117,0.05,0.0,Europe,2017,1.438,60
Uzbekistan,6.174,0.745,0.0,0.756,0.631,0.322,0.24,0.0,Asia,2017,1.529,22
Lithuania,6.149,1.238,0.0,0.818,0.291,0.043,0.042,0.0,Europe,2017,1.515,59
Colombia,6.125,0.985,0.0,0.841,0.47,0.099,0.034,0.0,South-America,2017,1.41,37
Slovenia,6.118,1.258,0.0,0.953,0.564,0.144,0.057,0.0,Europe,2017,1.523,61
Nicaragua,6.105,0.694,0.0,0.835,0.435,0.2,0.127,0.0,South-America,2017,1.325,26
Kosovo,6.1,0.882,0.0,0.758,0.489,0.262,0.006,0.0,Europe,2017,1.232,39
Argentina,6.086,1.092,0.0,0.881,0.471,0.066,0.05,0.0,South-America,2017,1.432,39
Romania,6.07,1.162,0.0,0.825,0.462,0.083,0.005,0.0,Europe,2017,1.232,48
Cyprus,6.046,1.263,0.0,1.042,0.406,0.19,0.041,0.0,Asia,2017,1.223,57
Ecuador,6.028,0.912,0.0,0.868,0.498,0.126,0.087,0.0,South-America,2017,1.312,32
Kuwait,6.021,1.5,0.0,0.808,0.493,0.142,0.097,0.0,Asia,2017,1.319,39
Thailand,6.008,1.05,0.0,0.828,0.557,0.359,0.028,0.0,Asia,2017,1.409,37
Latvia,5.94,1.187,0.0,0.812,0.264,0.075,0.064,0.0,Europe,2017,1.465,58
Estonia,5.893,1.237,0.0,0.874,0.495,0.103,0.161,0.0,Europe,2017,1.528,71
Jamaica,5.89,0.831,0.0,0.831,0.49,0.107,0.028,0.0,South-America,2017,1.478,44
Mauritius,5.888,1.12,0.0,0.798,0.498,0.215,0.06,0.0,Africa,2017,1.402,50
Japan,5.886,1.327,0.0,1.088,0.445,0.069,0.14,0.0,Asia,2017,1.419,73
Honduras,5.86,0.642,0.0,0.828,0.507,0.246,0.078,0.0,South-America,2017,1.236,29
Kazakhstan,5.809,1.173,0.0,0.729,0.41,0.146,0.096,0.0,Asia,2017,1.508,31
Bolivia,5.779,0.776,0.0,0.706,0.511,0.137,0.064,0.0,South-America,2017,1.209,33
Hungary,5.758,1.201,0.0,0.828,0.199,0.081,0.02,0.0,Europe,2017,1.41,45
Paraguay,5.743,0.855,0.0,0.777,0.514,0.184,0.08,0.0,South-America,2017,1.475,29
Peru,5.697,0.96,0.0,0.854,0.455,0.083,0.027,0.0,South-America,2017,1.274,37
Portugal,5.693,1.221,0.0,0.999,0.508,0.047,0.025,0.0,Europe,2017,1.431,63
Pakistan,5.653,0.677,0.0,0.535,0.313,0.22,0.098,0.0,Asia,2017,0.886,32
Russia,5.648,1.183,0.0,0.726,0.334,0.082,0.031,0.0,Europe,2017,1.452,29
Philippines,5.631,0.807,0.0,0.657,0.558,0.117,0.107,0.0,Asia,2017,1.293,34
Serbia,5.603,1.004,0.0,0.854,0.282,0.137,0.039,0.0,Europe,2017,1.383,41
Moldova,5.529,0.685,0.0,0.739,0.245,0.181,0.0,0.0,Europe,2017,1.328,31
Libya,5.525,1.044,0.0,0.673,0.416,0.133,0.152,0.0,Africa,2017,1.303,17
Montenegro,5.523,1.051,0.0,0.871,0.197,0.142,0.08,0.0,Europe,2017,1.361,46
Tajikistan,5.467,0.493,0.0,0.718,0.389,0.23,0.144,0.0,Asia,2017,1.098,21
Croatia,5.432,1.155,0.0,0.914,0.296,0.119,0.022,0.0,Europe,2017,1.266,49
Dominican Republic,5.425,1.015,0.0,0.779,0.497,0.113,0.101,0.0,South-America,2017,1.401,29
Bosnia and Herzegovina,5.386,0.945,0.0,0.845,0.212,0.263,0.006,0.0,Europe,2017,1.212,38
Turkey,5.373,1.183,0.0,0.808,0.195,0.083,0.106,0.0,Asia,2017,1.36,40
Malaysia,5.339,1.221,0.0,0.828,0.508,0.26,0.024,0.0,Asia,2017,1.171,47
Belarus,5.323,1.067,0.0,0.789,0.235,0.094,0.142,0.0,Europe,2017,1.465,44
Greece,5.287,1.181,0.0,0.999,0.067,0.0,0.034,0.0,Europe,2017,1.156,48
Mongolia,5.285,0.948,0.0,0.667,0.317,0.235,0.038,0.0,Asia,2017,1.531,36
Nigeria,5.265,0.696,0.0,0.245,0.426,0.215,0.041,0.0,Africa,2017,1.111,27
Kyrgyzstan,5.261,0.551,0.0,0.723,0.508,0.3,0.023,0.0,Asia,2017,1.438,29
Turkmenistan,5.247,1.052,0.0,0.657,0.394,0.244,0.028,0.0,Asia,2017,1.538,19
Algeria,5.211,1.002,0.0,0.785,0.086,0.073,0.114,0.0,Africa,2017,1.16,33
Morocco,5.208,0.801,0.0,0.782,0.418,0.036,0.076,0.0,Africa,2017,0.782,40
Azerbaijan,5.208,1.043,0.0,0.769,0.351,0.035,0.182,0.0,Asia,2017,1.147,31
Lebanon,5.197,0.987,0.0,0.815,0.216,0.166,0.027,0.0,Asia,2017,1.224,28
Indonesia,5.192,0.931,0.0,0.66,0.491,0.498,0.028,0.0,Asia,2017,1.203,37
China,5.191,1.029,0.0,0.893,0.521,0.058,0.1,0.0,Asia,2017,1.125,41
Vietnam,5.175,0.741,0.0,0.851,0.543,0.147,0.073,0.0,Asia,2017,1.346,35
Cameroon,5.044,0.549,0.0,0.331,0.381,0.187,0.037,0.0,Africa,2017,0.91,25
Bulgaria,5.011,1.092,0.0,0.815,0.311,0.081,0.004,0.0,Europe,2017,1.513,42
Ghana,4.996,0.611,0.0,0.486,0.381,0.245,0.04,0.0,Africa,2017,0.868,40
Nepal,4.913,0.446,0.0,0.677,0.439,0.285,0.089,0.0,Asia,2017,1.226,31
Jordan,4.906,0.837,0.0,0.815,0.383,0.11,0.13,0.0,Asia,2017,1.225,48
Benin,4.883,0.393,0.0,0.397,0.349,0.175,0.082,0.0,Africa,2017,0.437,39
Gabon,4.799,1.057,0.0,0.571,0.295,0.043,0.055,0.0,Africa,2017,1.183,32
South Africa,4.722,0.96,0.0,0.469,0.389,0.13,0.055,0.0,Africa,2017,1.351,43
Albania,4.719,0.947,0.0,0.874,0.383,0.178,0.027,0.0,Europe,2017,0.848,38
Venezuela,4.707,0.96,0.0,0.805,0.154,0.064,0.047,0.0,South-America,2017,1.427,18
Cambodia,4.7,0.574,0.0,0.637,0.609,0.232,0.062,0.0,Asia,2017,1.122,21
Senegal,4.681,0.45,0.0,0.571,0.292,0.153,0.072,0.0,Africa,2017,1.134,45
Niger,4.628,0.138,0.0,0.366,0.318,0.188,0.102,0.0,Africa,2017,0.774,33
Burkina Faso,4.587,0.331,0.0,0.38,0.255,0.177,0.113,0.0,Africa,2017,1.056,42
Armenia,4.559,0.85,0.0,0.815,0.283,0.095,0.064,0.0,Asia,2017,1.055,35
Iran,4.548,1.1,0.0,0.785,0.305,0.27,0.125,0.0,Asia,2017,0.842,30
Guinea,4.534,0.38,0.0,0.375,0.332,0.207,0.086,0.0,South-America,2017,0.829,27
Georgia,4.519,0.886,0.0,0.752,0.346,0.043,0.164,0.0,Asia,2017,0.666,56
Kenya,4.509,0.512,0.0,0.581,0.431,0.372,0.053,0.0,Africa,2017,0.983,28
Mauritania,4.49,0.57,0.0,0.489,0.066,0.106,0.088,0.0,Africa,2017,1.167,28
Tunisia,4.461,0.921,0.0,0.815,0.167,0.059,0.055,0.0,Africa,2017,1.0,42
Bangladesh,4.456,0.562,0.0,0.723,0.527,0.166,0.143,0.0,Asia,2017,0.928,28
